"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스"
"점원","비싼 곳은 오천만 원 넘고, 지금 어시장 부근이 원래 이천만 원인데 지금은 삼천만 원선 입니다","I","부동산업","주택","0","20","시세문의","","A","","","","","비싼 곳은 오천만 원 넘고, 지금 어시장 부근이 원래 이천만 원인데 지금은 삼천만 원선 입니다","비싼 곳, 오천만 원, 지금, 어시장 부근, 이천만 원, 지금, 삼천만 원선","","비싼 곳/매물, 오천만 원/금액, 지금/시간, 어시장 부근/장소, 이천만 원/금액, 지금/시간, 삼천만 원선/금액"
"고객","여기 #주소# 시세는 요즘 어떻습니까?","I","부동산업","주택","1","1","시세문의","","Q","","여기 #주소# 시세는 요즘 어떻습니까?","","","","#주소#, 시세","#주소#/아파트","#주소#/장소"
"점원","#주소# 몇 평 인데요?","I","부동산업","주택","0","2","면적문의","면적","Q","","","#주소# 몇 평 인데요?","","","현대아파, 몇 평","#주소#/아파트","#주소#/장소, 몇 평/평수"
"고객","#주소# 좀 작은거 20 몇 평 짜리 있죠?","I","부동산업","주택","1","3","면적별매물문의","","Q","","#주소# 좀 작은거 20 몇 평 짜리 있죠?","","","","#주소#, 20 몇 평","#주소#/아파트","#주소#/장소, 20 명 평/평수"
"점원","예 #주소# 20 몇 평 짜리 있습니다","I","부동산업","주택","0","4","면적별매물문의","","A","","","","","예 #주소# 20 몇 평 짜리 있습니다","#주소#, 20 몇 평","#주소#/아파트","#주소#/장소, 20 몇 평/평수"
"고객","#주소# 29평 말고 몇 평 있어요?","I","부동산업","주택","1","5","면적별매물문의","","Q","","#주소# 29평 말고 몇 평 있어요?","","","","#주소#, 29평, 몇 평","#주소#/아파트","#주소#/장소, 29평/평수, 몇 평/평수"
"점원","#주소#는 32평 있습니다","I","부동산업","주택","0","6","면적별매물문의","","A","","","","","#주소#는 32평 있습니다","#주소#, 32평","#주소#/아파트","#주소#/장소, 32평/평수"
"고객","#주소# 29평 32평 2가지죠?","I","부동산업","주택","1","7","면적별매물문의","","Q","","#주소# 29평 32평 2가지죠?","","","","#주소#, 29평, 32평, 2가지","#주소#/아파트","#주소#/장소, 29평/평수, 32평/평수, 2가지/수량"
"점원","예 #주소# 좀 작은 평수는 그렇게 2가지에요","I","부동산업","주택","0","8","면적별매물문의","","A","","","","","예 #주소# 좀 작은 평수는 그렇게 2가지에요","#주소#, 평수, 2가지","#주소#/아파트","#주소#/장소, 2가지/수량"
"고객","29평이랑 30평이랑 뭐가 달라요?","I","부동산업","주택","1","9","면적별매물문의","","Q","","29평이랑 30평이랑 뭐가 달라요?","","","","29평, 30평","","29평/평수, 30평/평수"
"점원","29평이랑 30평은 거의 비슷하다고 생각하시면 됩니다","I","부동산업","주택","0","10","면적별매물문의","","A","","","","","29평이랑 30평은 거의 비슷하다고 생각하시면 됩니다","28평, 30평","","28평/평수, 30평/평수"
"고객","지금 이쪽 동에서는 작은 평수는 저 위에 있는 걸로 아는데 맞나요?","I","부동산업","주택","1","11","면적별매물문의","","Q","","지금 이쪽 동에서는 작은 평수는 저 위에 있는 걸로 아는데 맞나요?","","","","이쪽, 동, 평수, 위","","이쪽/위치, 동/장소, 위/방향"
"점원","네 #주소#가 작은 평수가 있습니다","I","부동산업","주택","0","12","면적별매물문의","","A","","","","","네 #주소#가 작은 평수가 있습니다","#주소#, 평수","#주소#/아파트","#주소#/장소"
"고객","#주소#는 좀 많이 작지 않나요?","I","부동산업","주택","1","13","면적문의","","Q","","#주소#는 좀 많이 작지 않나요?","","","","#주소#","#주소#/아파트","#주소#/장소"
"점원","몇 명이 거주 하실건데요?","I","부동산업","주택","0","14","거주인원문의","거주인원","Q","","","몇 명이 거주 하실건데요?","","","몇 명, 거주","","몇 명/인원"
"고객","2명에다가 짐이 좀 있는데 없애고 올 수 있어요","I","부동산업","주택","1","15","거주인원문의","거주인원","A","","","","2명에다가 짐이 좀 있는데 없애고 올 수 있어요","","2명, 짐","","2명/인원"
"점원","그러면 가격 한 번 봐보실래요?","I","부동산업","주택","0","16","시세문의","시세","Q","","","그러면 가격 한 번 봐보실래요?","","","가격, 한 번","",""
"고객","네 2명이 살만한데 가격좀 말해주세요","I","부동산업","주택","1","17","시세문의","시세","A","","","","네 2명이 살만한데 가격좀 말해주세요","","2명, 가격","","2명/인원"
"점원","지금 32평 짜리가 1억 7천 5백에서 1억 7천까지 많이 떨어졌어요","I","부동산업","주택","0","18","시세문의","","A","13","","","","지금 32평 짜리가 1억 7천 5백에서 1억 7천까지 많이 떨어졌어요","지금, 32평, 1억 7천 5백, 1억 7천","","지금/시간, 32평/평수, 1억 7천 5백/금액, 1억 7천/금액"
"고객","가격이 많이 떨어졌으면 고민 좀 해볼게요","I","부동산업","주택","1","19","시세문의","","Q","","가격이 많이 떨어졌으면 고민 좀 해볼게요","","","","가격, 고민","",""
"점원","이사는 언제까지 오셔야 하는데요?","I","부동산업","주택","0","20","희망이사날짜","이사날짜","Q","","","이사는 언제까지 오셔야 하는데요?","","","이사","",""
"고객","이사는 주택이 있다보니까 지금 당장은 할 생각이 없어요","I","부동산업","주택","1","21","희망이사날짜","이사날짜","A","","","","이사는 주택이 있다보니까 지금 당장은 할 생각이 없어요","","이사, 주택, 지금, 생각","","주택/매물, 지금/시간"
"점원","날이 추워서 그러신가봐요","I","부동산업","주택","0","22","시세문의","","A","","","","","날이 추워서 그러신가봐요","날","",""
"고객","가지고 있는 돈에 맞춰야 하는데 시세 괜찮은 거 있나요?","I","부동산업","주택","1","23","시세문의","","Q","","가지고 있는 돈에 맞춰야 하는데 시세 괜찮은 거 있나요?","","","","돈, 시세","",""
"점원","꼭 집을 사야되고 하신다면 지금 주택을 이 동네 아파트로 사놓는것도 괜찮은 것 같아요","I","부동산업","주택","0","24","시세문의","","A","","","","","꼭 집을 사야되고 하신다면 지금 주택을 이 동네 아파트로 사놓는것도 괜찮은 것 같아요","집, 주택, 동네, 아파트","","집/매물, 주택/매물, 아파트/매물"
"고객","이 동네는 한물 좀 갔지 않아요?","I","부동산업","주택","1","25","시세문의","","Q","","이 동네는 한물 좀 갔지 않아요?","","","","동네","",""
"점원","요새 가격이 너무 많이 떨어졌기는 했는데 학군도 좋고 사람들이 많이 와요","I","부동산업","주택","0","26","시세문의","","A","","","","","요새 가격이 너무 많이 떨어졌기는 했는데 학군도 좋고 사람들이 많이 와요","가격, 학군, 사람","",""
"고객","그러면 29평 아파트는 최소한 얼마정도 준비해야하나요?","I","부동산업","주택","1","27","시세문의","","Q","","그러면 29평 아파트는 최소한 얼마정도 준비해야하나요?","","","","29평, 아파트, 최소","","29평/평수, 아파트/매물"
"점원","대충 1억 5천에서 1억 5천 5백정도 준비하셔야 할거에요","I","부동산업","주택","0","28","시세문의","","A","","","","","대충 1억 5천에서 1억 5천 5백정도 준비하셔야 할거에요","1억 5천, 1억 5천 5백","","1억 5천/금액, 1억 5천 5백/금액"
"고객","그러면 29평 아파트 전세는 얼마정도 하나요?","I","부동산업","주택","1","29","시세문의","","Q","","그러면 29평 아파트 전세는 얼마정도 하나요?","","","","29평, 아파트, 전세","","29평/평수, 아파트/매물, 전세/계약종류"
"점원","29평 아파트 전세금은 매매 가격의 80퍼센트정도의 가격 입니다","I","부동산업","주택","0","30","시세문의","","A","","","","","29평 아파트 전세금은 매매 가격의 80퍼센트정도의 가격 입니다","29평, 아파트, 전세금, 매매, 가격, 80퍼센트, 가격","","29평/평수, 아파트/매물, 매매/계약종류"
"고객","아파트 전세 가격이 많이 나가네요?","I","부동산업","주택","1","31","거래가문의","","Q","","아파트 전세 가격이 많이 나가네요?","","","","아파트, 전세, 가격","","아파트/매물, 전세/계약종류"
"점원","이 아파트 전세는 가격이 많이 나갑니다","I","부동산업","주택","0","32","거래가문의","","A","","","","","이 아파트 전세는 가격이 많이 나갑니다","아파트, 전세, 가격","","아파트/매물, 전세/계약종류"
"고객","전세가 세니까 사는 사람이 많네요?","I","부동산업","주택","1","33","거래가문의","","Q","","전세가 세니까 사는 사람이 많네요?","","","","전세, 사람","","전세/계약종류"
"점원","예 안그러면 전세를 가실려고 하면 여기보다는 저기 #주소#이라고 있어요","I","부동산업","주택","0","34","거래가문의","","A","","","","","예 안그러면 전세를 가실려고 하면 여기보다는 저기 #주소#이라고 있어요","전세, #주소#","#주소#/아파트","전세/계약종류, #주소#/장소"
"고객","앞에 있는 사거리 요쪽 넘어서 있는 #주소# 맞나요?","I","부동산업","주택","1","35","#주소#매물문의","","Q","","앞에 있는 사거리 요쪽 넘어서 있는 #주소# 맞나요?","","","","앞, 사거리, 요쪽, #주소#","#주소#/아파트","앞/방향, 요쪽/위치, #주소#/장소"
"점원","네 #주소# 전세 1억 3천에 지금 나왔어요","I","부동산업","주택","0","36","#주소#매물문의","","A","","","","","네 #주소# 전세 1억 3천에 지금 나왔어요","#주소#, 전세, 1억 3천, 지금","#주소#/아파트","#주소#/장소, 전세/계약종류, 1억 3천/금액, 지금/시간"
"고객","#주소# 30평 짜리요?","I","부동산업","주택","1","37","#주소#매물문의","","Q","","#주소# 30평 짜리요?","","","","#주소#, 30평","#주소#/아파트","#주소#/장소, 30평/평수"
"점원","#주소# 24평이요","I","부동산업","주택","0","38","#주소#매물문의","","A","","","","","#주소# 24평이요","#주소#, 24평","#주소#/아파트","#주소#/장소, 24평/평수"
"고객","층수는 몇 층이에요?","I","부동산업","주택","1","39","층문의","","Q","","층수는 몇 층이에요?","","","","층수, 몇 층","","몇 층/층수"
"점원","층수는 13층이여서 층수는 좋습니다","I","부동산업","주택","0","40","층문의","","A","","","","","층수는 13층이여서 층수는 좋습니다","층수, 13층","","13층/층수"
"고객","명함 하나 주시면 신랑하고 상의해서 나중에 한 번 들릴게요","I","부동산업","주택","1","41","추후연락","","Q","","명함 하나 주시면 신랑하고 상의해서 나중에 한 번 들릴게요","","","","명함, 하나, 신랑, 상의, 한 번","","하나/수량"
"점원","예 감사합니다","I","부동산업","주택","0","42","추후연락","","A","","","","","예 감사합니다","","",""
"고객","서부 초등학교 부근에 원룸 가격 알 수 있나요?","I","부동산업","주택","1","1","OO학군OO학교인근의매물문의","","Q","","서부 초등학교 부근에 원룸 가격 알 수 있나요?","","","","서부 초등학교, 부근, 원룸, 가격","서부 초등학교/학교","서부 초등학교/학교, 원룸/매물"
"점원","서부 초등학교 부근에 원룸 가격은 잠시만 기다려주세요","I","부동산업","주택","0","2","OO학군OO학교인근의매물문의","","A","","","","","서부 초등학교 부근에 원룸 가격은 잠시만 기다려주세요","서부 초등학교, 부근, 원룸, 가격","서부 초등학교/학교","서부 초등학교/학교, 원룸/매물"
"고객","#주소#에 원룸이 천에 30이 있는데 여기도 그런가요?","I","부동산업","주택","1","3","OO지역매물문의","","Q","","#주소#에 원룸이 천에 30이 있는데 여기도 그런가요?","","","","#주소#, 원룸, 천, 30","","#주소#/장소, 원룸/매물, 천/금액, 30/금액"
"점원","이 동네는 가격이 그 동네랑 같지 않아요","I","부동산업","주택","0","4","OO지역매물문의","","A","","","","","이 동네는 가격이 그 동네랑 같지 않아요","동네, 가격","",""
"고객","이 동네는 가격이 별로 안비싸나요?","I","부동산업","주택","1","5","시세문의","","Q","","이 동네는 가격이 별로 안비싸나요?","","","","동네, 가격","",""
"점원","네 이 동네는 가격이 저렴한 편이에요","I","부동산업","주택","0","6","시세문의","","A","","","","","네 이 동네는 가격이 저렴한 편이에요","동네, 가격","",""
"고객","이 동네 금액이 어떻게 돼요?","I","부동산업","주택","1","7","시세문의","","Q","","이 동네 금액이 어떻게 돼요?","","","","동네, 금액","",""
"점원","보증금 200만원 짜리 봐볼게요","I","부동산업","주택","0","8","시세문의","","A","","","","","보증금 200만원 짜리 봐볼게요","보증금, 200만원","","200만원/금액"
"고객","이 동네는 평균 보증금이 200만원 인가요?","I","부동산업","주택","1","9","시세문의","","Q","","이 동네는 평균 보증금이 200만원 인가요?","","","","동네, 보증금, 200만원","","200만원/금액"
"점원","평균 보증금은 100만원 이에요","I","부동산업","주택","0","10","시세문의","","A","","","","","평균 보증금은 100만원 이에요","보증금, 100만원","","100만원/금액"
"고객","월세는 제일 비싼게 얼마에요?","I","부동산업","주택","1","11","시세문의","","Q","","월세는 제일 비싼게 얼마에요?","","","","월세","","월세/계약종류"
"점원","월세 25만원 짜리가 제일 비싸요","I","부동산업","주택","0","12","시세문의","","A","","","","","월세 25만원 짜리가 제일 비싸요","월세, 25만원","","월세/계약종류, 25만원/금액"
"고객","원룸이라도 방 한 칸 말고 주방이랑 거실도 있는 이런건가요?","I","부동산업","주택","1","13","실내구조문의","","Q","","원룸이라도 방 한 칸 말고 주방이랑 거실도 있는 이런건가요?","","","","원룸, 방 한 칸, 주방, 거실","","원룸/매물, 방 한 칸/실내, 주방/실내, 거실/실내"
"점원","주방이랑 거실도 있는 방은 투룸인데요","I","부동산업","주택","0","14","실내구조문의","","A","","","","","주방이랑 거실도 있는 방은 투룸인데요","주방, 거실, 방, 투룸","","주방/실내, 거실/실내, 방/실내, 투룸/매물"
"고객","지금 살고 있는데도 투룸인데 그러면 투룸 없나요?","I","부동산업","주택","1","15","단순매물문의","","Q","","지금 살고 있는데도 투룸인데 그러면 투룸 없나요?","","","","지금, 투룸, 투룸","","지금/시간, 투룸/매물, 투룸/매물"
"점원","여기는 투룸 비싼거는 보통 500만원에 30만원이에요","I","부동산업","주택","0","16","단순매물문의","","A","","","","","여기는 투룸 비싼거는 보통 500만원에 30만원이에요","투룸, 500만원, 30만원","","투룸/매물, 500만원/금액, 30만원/금액"
"고객","보증금을 차라리 더 주더라도 월세를 조금 적게 주고 싶은데 그런 매물은 없나요?","I","부동산업","주택","1","17","단순매물문의","","Q","","보증금을 차라리 더 주더라도 월세를 조금 적게 주고 싶은데 그런 매물은 없나요?","","","","보증금, 월세, 매물","","월세/계약종류"
"점원","그럼 달성군쪽에 전화 한 번 해볼게요","I","부동산업","주택","0","18","단순매물문의","","A","","","","","그럼 달성군쪽에 전화 한 번 해볼게요","달성군쪽, 전화, 한 번","","달성군쪽/위치"
"고객","사장님 일단 명함 하나 주세요","I","부동산업","주택","1","19","추후연락","","Q","","사장님 일단 명함 하나 주세요","","","","사장님, 명함, 하나","","하나/수량"
"점원","예 여기 있습니다","I","부동산업","주택","0","20","추후연락","","A","","","","","예 여기 있습니다","","",""
"고객","33평 매물 있어요?","I","부동산업","주택","1","1","면적별매물문의","","Q","","33평 매물 있어요?","","","","33평, 매물","","33평/평수"
"점원","33평은 없고, 36평 있습니다","I","부동산업","주택","0","2","면적별매물문의","","A","","","","","33평은 없고, 36평 있습니다","33평, 36평","","33평/평수, 36평/평수"
"고객","36평 매물은 있어요?","I","부동산업","주택","1","3","면적별매물문의","","Q","","36평 매물은 있어요?","","","","36평, 매물","","36평/평수"
"점원","예, 36평 매물 있습니다","I","부동산업","주택","0","4","면적별매물문의","","A","","","","","예, 36평 매물 있습니다","36평, 매물","","36평/평수"
"고객","그거는 보통 얼마에 거래돼요?","I","부동산업","주택","1","5","거래가문의","","Q","","그거는 보통 얼마에 거래돼요?","","","","보통, 거래","",""
"점원","그거는 동마다 다 다릅니다","I","부동산업","주택","0","6","거래가문의","","A","","","","","그거는 동마다 다 다릅니다","동","","동/장소"
"고객","같은 평수인데 가격 차이가 많이 납니까?","I","부동산업","주택","1","7","거래가문의","","Q","","같은 평수인데 가격 차이가 많이 납니까?","","","","평수, 가격, 차이","",""
"점원","예, 가격 차이가 제법 많이 납니다","I","부동산업","주택","0","8","거래가문의","","A","","","","","예, 가격 차이가 제법 많이 납니다","가격, 차이","",""
"고객","가격 차이가 얼마에서 얼마까지 나요?","I","부동산업","주택","1","9","거래가문의","","Q","","가격 차이가 얼마에서 얼마까지 나요?","","","","가격, 차이","",""
"점원","36평대는 6억5천만 원에서 7억 원 사이입니다","I","부동산업","주택","0","10","거래가문의","","A","","","","","36평대는 6억5천만 원에서 7억 원 사이입니다","36평대, 6억5천만 원, 7억 원","","36평대/평수, 6억5천만 원/금액, 7억 원/금액 "
"고객","아직 매물 가격이 안 내렸지요?","I","부동산업","주택","1","11","시세문의","","Q","","아직 매물 가격이 안 내렸지요?","","","","매물, 가격","",""
"점원","지금 가격을 내린데는 없고, 정체되어 있습니다","I","부동산업","주택","0","12","시세문의","","A","","","","","지금 가격을 내린데는 없고, 정체되어 있습니다","지금, 가격, 정체","","지금/시간"
"고객","급한 사람이 조금 싸게 내놓지요?","I","부동산업","주택","1","13","시세문의","","Q","","급한 사람이 조금 싸게 내놓지요?","","","","사람","",""
"점원","여기하고 범어 4동이 제일 좋으니까 싸게 나오는 경우는 거의 없습니다","I","부동산업","주택","0","14","시세문의","","A","","","","","여기하고 범어 4동이 제일 좋으니까 싸게 나오는 경우는 거의 없습니다","범어 4동","","범어 4동/장소"
"고객","이 매물 몇 년도에 지어졌습니까?","I","부동산업","주택","1","15","연식문의","","Q","","이 매물 몇 년도에 지어졌습니까?","","","","매물, 몇 년도","","몇 년도/연식"
"점원","한 10년 됐습니다","I","부동산업","주택","0","16","연식문의","","A","","","","","한 10년 됐습니다","10년","","10년/연식"
"고객","지금 매물 나온거는 있어요?","I","부동산업","주택","1","17","면적별매물문의","","Q","","지금 매물 나온거는 있어요?","","","","지금, 매물","","지금/시간"
"점원","36평 매물이 2개 정도 있습니다","I","부동산업","주택","0","18","면적별매물문의","","A","","","","","36평 매물이 2개 정도 있습니다","36평, 매물, 2개","","36평/평수, 2개/수량"
"고객","요새 아파트 값 좀 내렸습니까?","I","부동산업","주택","1","1","시세문의","","Q","","요새 아파트 값 좀 내렸습니까?","","","","요새, 아파트","","아파트/매물"
"점원","아직 떨어지질 않았습니다","I","부동산업","주택","0","2","시세문의","","A","","","","","아직 떨어지질 않았습니다","","",""
"고객","여기 36평 매물 있어요?","I","부동산업","주택","1","3","면적별매물문의","","Q","","여기 36평 매물 있어요?","","","","36평, 매물","","36평/평수"
"점원","예 7억 원짜리 36평 매물 있습니다","I","부동산업","주택","0","4","면적별매물문의","","A","","","","","예 7억 원짜리 36평 매물 있습니다","7억 원, 36평, 매물","","7억 원/금액, 36평/평수"
"고객","36평이 7억 원이면 하나도 안 떨어진거죠?","I","부동산업","주택","1","5","시세문의","","Q","","36평이 7억 원이면 하나도 안 떨어진거죠?","","","","36평, 7억 원","","36평/평수, 7억 원/금액"
"점원","예 지금 가격이 11월달 그대로입니다","I","부동산업","주택","0","6","시세문의","","A","","","","","예 지금 가격이 11월달 그대로입니다","지금, 가격, 11월","","지금/시간, 11월/날짜"
"고객","급매로 나온 매물도 없어요?","I","부동산업","주택","1","7","단순매물문의","","Q","","급매로 나온 매물도 없어요?","","","","급매, 매물","급매/급한 매매","급매/계약종류"
"점원","예 급매로 나온 매물도 없습니다","I","부동산업","주택","0","8","단순매물문의","","A","","","","","예 급매로 나온 매물도 없습니다","급매, 매물","급매/급한 매매","급매/계약종류"
"고객","36평이라도 보통 33평하고 구조는 똑같지요?","I","부동산업","주택","1","9","실내구조문의","","Q","","36평이라도 보통 33평하고 구조는 똑같지요?","","","","36평, 33평, 구조","","36평/평수, 33평/평수"
"점원","예 구조는 비슷합니다","I","부동산업","주택","0","10","실내구조문의","","A","","","","","예 구조는 비슷합니다","구조","",""
"고객","전세는 얼마씩 해요?","I","부동산업","주택","1","11","거래가문의","","Q","","전세는 얼마씩 해요?","","","","전세","","전세/계약종류"
"점원","전세는 4억6천만 원 입니다","I","부동산업","주택","0","12","거래가문의","","A","","","","","전세는 4억6천만 원 입니다","전세, 4억6천만 원","","전세/계약종류, 4억6천만 원/금액"
"고객","전세 매물은 없어요?","I","부동산업","주택","1","13","전세매물문의","","Q","","전세 매물은 없어요?","","","","전세, 매물","","전세/계약종류"
"점원","예 전세 매물은 있으면 금방 나갑니다","I","부동산업","주택","0","14","전세매물문의","","A","","","","","예 전세 매물은 있으면 금방 나갑니다","전세, 매물","","전세/계약종류"
"고객","그럼 매물 가격은 7억 정도라 보면 되겠네요?","I","부동산업","주택","1","15","거래가문의","","Q","","그럼 매물 가격은 7억 정도라 보면 되겠네요?","","","","매물, 가격, 7억","","7억/금액"
"점원","예 6억9천만 원 정도면 거래 됩니다","I","부동산업","주택","0","16","거래가문의","","A","","","","","예 6억9천만 원 정도면 거래 됩니다","6억 9천만 원, 거래","","6억 9천만 원/금액"
"고객","#주소# 강 쪽으로 40평 초반대 있어요?","I","부동산업","주택","1","1","OO지역매물문의","","Q","","#주소# 강 쪽으로 40평 초반대 있어요?","","","","#주소#, 강 쪽, 40평 초반대","#주소#/아파트","#주소#/장소, 강 쪽/위치, 40평 초반대/평수"
"점원","아니요 강 쪽으로 40평 초반대는 없습니다","I","부동산업","주택","0","2","OO지역매물문의","","A","","","","","아니요 강 쪽으로 40평 초반대는 없습니다","강 쪽, 40평 초반대","","강 쪽/위치, 40평 초반대/평수"
"고객","그러면 40평 후반대는 있어요?","I","부동산업","주택","1","3","면적별매물문의","","Q","","그러면 40평 후반대는 있어요?","","","","40평 후반대","","40평 후반대/평수"
"점원","아니요 강변 쪽으로는 45평이랑 47평 매물이 없습니다","I","부동산업","주택","0","4","면적별매물문의","","A","","","","","아니요 강변 쪽으로는 45평이랑 47평 매물이 없습니다","강변 쪽, 45평, 47평, 매물","","강변 쪽/위치, 45평/평수, 47평/평수"
"고객","강변 쪽에만 매물이 없는 거에요?","I","부동산업","주택","1","5","OO지역매물문의","","Q","","강변 쪽에만 매물이 없는 거에요?","","","","강변 쪽, 매물","","강변 쪽/위치"
"점원","예 강변 쪽에만 매물이 없습니다","I","부동산업","주택","0","6","OO지역매물문의","","A","","","","","예 강변 쪽에만 매물이 없습니다","강변 쪽, 매물","","강변 쪽/위치"
"고객","그러면 다른 쪽으로는 40평대 중에서 몇 평 있어요?","I","부동산업","주택","1","7","면적별매물문의","","Q","","그러면 다른 쪽으로는 40평대 중에서 몇 평 있어요?","","","","다른 쪽, 40평대, 평","","다른 쪽/위치, 40평대/평수, 평/평수"
"점원","47평대가 안쪽에 다 있습니다","I","부동산업","주택","0","8","면적별매물문의","","A","","","","","47평대가 안쪽에 다 있습니다","47평대, 안쪽","","47평대/평수, 안쪽/위치"
"고객","47평대에 베란다가 기역자로 되어있는 구조도 있어요?","I","부동산업","주택","1","9","실내구조문의","","Q","","47평대에 베란다가 기역자로 되어있는 구조도 있어요?","","","","47평대, 베란다, 기역자, 구조","","47평대/평수, 베란다/실외, 기역자/구조"
"점원","아니요 그런 구조는 58평입니다","I","부동산업","주택","0","10","실내구조문의","","A","","","","","아니요 그런 구조는 58평입니다","구조, 58평","","58평/평수"
"고객","강이 보이는 쪽은 다 큰 평수인건가요?","I","부동산업","주택","1","11","면적별매물문의","","Q","","강이 보이는 쪽은 다 큰 평수인건가요?","","","","쪽, 평수","","쪽/위치"
"점원","예, 작은 평수도 강 쪽은 아니지만 건물 사이로 강변이 보입니다","I","부동산업","주택","0","12","면적별매물문의","","A","","","","","예, 작은 평수도 강 쪽은 아니지만 건물 사이로 강변이 보입니다","강 쪽, 건물, 강변","","강 쪽/위치, 강변/위치"
"고객","제가 말한 구조가 몇 동인가요?","I","부동산업","주택","1","13","실내구조문의","","Q","","제가 말한 구조가 몇 동인가요?","","","","몇 동","","몇 동/장소"
"점원","102동에 58평하고 47평이 있는데 구조가 비슷합니다","I","부동산업","주택","0","14","실내구조문의","","A","","","","","102동에 58평하고 47평이 있는데 구조가 비슷합니다","102동, 58평, 47평, 구조","","102동/주소, 58평/평수, 47평/평수"
"고객","47평은 보통 얼마에 거래되고 있어요?","I","부동산업","주택","1","15","거래가문의","","Q","","47평은 보통 얼마에 거래되고 있어요?","","","","47평, 거래","","47평/평수"
"점원","고층은 7억 원에 거래되고, 좀 괜찮은 층은 7억5천만 원에 거래되고 있습니다","I","부동산업","주택","0","16","거래가문의","","A","","","","","고층은 7억 원에 거래되고, 좀 괜찮은 층은 7억5천만 원에 거래되고 있습니다","고층, 7억 원, 괜찮은 층, 7억5천만 원, 거래","","고층/층수, 7억 원/금액, 괜찮은 층/층수, 7억5천만 원/금액"
"고객","가격이 내린겁니까?","I","부동산업","주택","1","17","시세문의","","Q","","가격이 내린겁니까?","","","","가격","",""
"점원","아니요 가격이 내린 것은 아닙니다","I","부동산업","주택","0","18","시세문의","","A","","","","","아니요 가격이 내린 것은 아닙니다","가격","",""
"고객","항상 그 정도 매매가격인 거예요?","I","부동산업","주택","1","19","시세문의","","Q","","항상 그 정도 매매가격인 거예요?","","","","항상","",""
"점원","예 몇 평정도 찾으세요?","I","부동산업","주택","0","20","면적문의","면적","Q","","","예 몇 평정도 찾으세요?","","","평","","몇 평/평수"
"고객","40평 초반대 매물을 찾고있어요","I","부동산업","주택","1","21","시세문의","","A","","","","40평 초반대 매물을 찾고있어요","","40평 초반대, 매물","","40평 초반대/평수"
"점원","42평은 괜찮으세요?","I","부동산업","주택","0","22","시세문의","","Q","","","42평은 괜찮으세요?","","","42평","","42평/평수"
"고객","42평은 전망이 안 좋지 않아요?","I","부동산업","주택","1","23","전망문의","","Q","","42평은 전망이 안 좋지 않아요?","","","","42평, 전망","","42평/평수, 전망/입지정보"
"점원","고층은 전망이 괜찮습니다","I","부동산업","주택","0","24","전망문의","","A","","","","","고층은 전망이 괜찮습니다","고층, 전망","","고층/층수, 전망/입지정보"
"고객","42평은 얼마예요?","I","부동산업","주택","1","25","거래가문의","","Q","","42평은 얼마예요?","","","","42평","","42평/평수"
"점원","전망 좋은 곳은 지금 6억8천5백만 원, 6억5천만 원짜리 매물이 있습니다","I","부동산업","주택","0","26","거래가문의","","A","","","","","전망 좋은 곳은 지금 6억8천5백만 원, 6억5천만 원짜리 매물이 있습니다","전망, 지금, 6억8천5백만 원, 6억5천만 원, 매물","","전망/입지정보, 지금/시간, 6억8천5백만 원/금액, 6억5천만 원/금액"
"고객","가격을 조금 조율할 수 있어요?","I","부동산업","주택","1","27","매매가문의","","Q","","가격을 조금 조율할 수 있어요?","","","","가격, 조율","",""
"점원","예 집주인과 하시면 됩니다","I","부동산업","주택","0","28","매매가문의","","A","","","","","예 집주인과 하시면 됩니다","집주인","",""
"고객","지금 빈집으로 있는 매물이 있어요?","I","부동산업","주택","1","29","단순매물문의","","Q","","지금 빈집으로 있는 매물이 있어요?","","","","빈집","","빈집/매물"
"점원","예 42평 하나는 빈집으로 있습니다","I","부동산업","주택","0","30","단순매물문의","","A","","","","","예 42평 하나는 빈집으로 있습니다","42평, 하나, 빈집","","42평/평수, 하나/수량, 빈집/매물"
"고객","아파트 시세 한 번 여쭤보려고 왔습니다","I","부동산업","주택","1","1","시세문의","","Q","","아파트 시세 한 번 여쭤보려고 왔습니다","","","","아파트, 시세, 한 번","","아파트/매물"
"점원","몇 평짜리 찾으세요?","I","부동산업","주택","0","2","시세문의","","Q","","","몇 평짜리 찾으세요?","","","평","","평/평수"
"고객","58평 급매 이런 매물은 얼마예요?","I","부동산업","주택","1","3","면적별매물문의","","Q","","58평 급매 이런 매물은 얼마예요?","","","","58평, 급매, 매물","급매/급한 매매","58평/평수, 급매/계약종류"
"점원","58평 제일 싼 매물이 4층이고, 7억5천만 원입니다","I","부동산업","주택","0","4","면적별매물문의","","A","","","","","58평 제일 싼 매물이 4층이고, 7억5천만 원입니다","58평, 매물, 4층, 7억5천만 원","","58평/평수, 4층/층수, 7억5천만 원/금액"
"고객","4층이면 층이 좀 안 좋죠?","I","부동산업","주택","1","5","층문의","","Q","","4층이면 층이 좀 안 좋죠?","","","","4층, 층","","4층/층수, 층/층수"
"점원","예, 층이 안 좋습니다","I","부동산업","주택","0","6","층문의","","A","","","","","예, 층이 안 좋습니다","층","","층/층수"
